method,sparsity_topmass_90,aopc_mean_drop,orig_true_prob,prob_drops_by_frac
SHAP,5.346049803799972e-06,0.015150171518325806,0.3864186406135559,0.0029;0.0082;0.0128;0.0214;0.0305
GradCAM,5.346049803799972e-06,0.022143077850341798,0.3864186406135559,0.0036;0.0096;0.0153;0.0291;0.0532
